dataset,retriever,strategy,loose_recall,strict_recall,em,f1,hallucination_rate
beir_fiqa,bm25,baseline,0.455,0.18,0.0,0.0,0.25
beir_fiqa,bm25,multi_rewrite,0.51,0.195,0.0,0.0,0.31
beir_fiqa,bm25,reflective_rewrite,0.435,0.14,0.0,0.0,0.255
beir_fiqa,bm25,single_rewrite,0.415,0.125,0.0,0.0,0.235
beir_fiqa,dense,baseline,0.855,0.45,0.0,0.0,0.465
beir_fiqa,dense,multi_rewrite,0.84,0.44,0.0,0.0,0.465
beir_fiqa,dense,reflective_rewrite,0.84,0.435,0.0,0.0,0.45
beir_fiqa,dense,single_rewrite,0.845,0.445,0.0,0.0,0.48
beir_fiqa,hybrid,baseline,0.805,0.395,0.0,0.0,0.37
beir_fiqa,hybrid,multi_rewrite,0.305,0.09,0.0,0.0,0.215
beir_fiqa,hybrid,reflective_rewrite,0.765,0.335,0.0,0.0,0.33
beir_fiqa,hybrid,single_rewrite,0.745,0.33,0.0,0.0,0.375
hotpotqa,bm25,baseline,0.778,0.23,0.254,0.33022423559086844,0.066
hotpotqa,bm25,multi_rewrite,0.792,0.25,0.262,0.33930756892420183,0.068
hotpotqa,bm25,reflective_rewrite,0.782,0.25,0.266,0.3347304231999884,0.054
hotpotqa,bm25,single_rewrite,0.766,0.236,0.254,0.32477423439300057,0.07
hotpotqa,dense,baseline,0.798,0.242,0.236,0.31638553339163095,0.066
hotpotqa,dense,multi_rewrite,0.802,0.248,0.252,0.3350386492817527,0.074
hotpotqa,dense,reflective_rewrite,0.794,0.26,0.26,0.3401585973646949,0.06
hotpotqa,dense,single_rewrite,0.798,0.242,0.244,0.31903139446760137,0.064
hotpotqa,hybrid,baseline,0.814,0.284,0.236,0.31165217600827355,0.05
hotpotqa,hybrid,multi_rewrite,0.654,0.202,0.198,0.2588381729381729,0.048
hotpotqa,hybrid,reflective_rewrite,0.792,0.258,0.228,0.29782180042180045,0.052
hotpotqa,hybrid,single_rewrite,0.804,0.246,0.224,0.29464986842425867,0.058
